"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","UNEMP","TOT","PC_LF","Q","2017-Q4",5.463497,
"AUS","UNEMP","TOT","PC_LF","Q","2018-Q1",5.522613,
"AUS","UNEMP","TOT","PC_LF","Q","2018-Q2",5.41713,
"AUS","UNEMP","TOT","PC_LF","Q","2018-Q3",5.187916,
"AUS","UNEMP","TOT","PC_LF","Q","2018-Q4",5.035393,
"AUS","UNEMP","TOT","PC_LF","Q","2019-Q1",5.024042,
"AUS","UNEMP","TOT","PC_LF","Q","2019-Q2",5.224438,
"AUT","UNEMP","TOT","PC_LF","Q","2017-Q4",5.347648,
"AUT","UNEMP","TOT","PC_LF","Q","2018-Q1",5.015158,
"AUT","UNEMP","TOT","PC_LF","Q","2018-Q2",4.776932,
"AUT","UNEMP","TOT","PC_LF","Q","2018-Q3",4.906354,
"AUT","UNEMP","TOT","PC_LF","Q","2018-Q4",4.693947,
"AUT","UNEMP","TOT","PC_LF","Q","2019-Q1",4.690749,
"AUT","UNEMP","TOT","PC_LF","Q","2019-Q2",4.620146,
"BEL","UNEMP","TOT","PC_LF","Q","2017-Q4",6.337075,
"BEL","UNEMP","TOT","PC_LF","Q","2018-Q1",6.058174,
"BEL","UNEMP","TOT","PC_LF","Q","2018-Q2",6.324771,
"BEL","UNEMP","TOT","PC_LF","Q","2018-Q3",5.763028,
"BEL","UNEMP","TOT","PC_LF","Q","2018-Q4",5.654527,
"BEL","UNEMP","TOT","PC_LF","Q","2019-Q1",5.550471,
"BEL","UNEMP","TOT","PC_LF","Q","2019-Q2",5.515617,
"CAN","UNEMP","TOT","PC_LF","Q","2017-Q4",6,
"CAN","UNEMP","TOT","PC_LF","Q","2018-Q1",5.833333,
"CAN","UNEMP","TOT","PC_LF","Q","2018-Q2",5.933333,
"CAN","UNEMP","TOT","PC_LF","Q","2018-Q3",5.9,
"CAN","UNEMP","TOT","PC_LF","Q","2018-Q4",5.633333,
"CAN","UNEMP","TOT","PC_LF","Q","2019-Q1",5.8,
"CAN","UNEMP","TOT","PC_LF","Q","2019-Q2",5.533333,
"CAN","UNEMP","TOT","PC_LF","Q","2019-Q3",5.633333,
"CZE","UNEMP","TOT","PC_LF","Q","2017-Q4",2.449031,
"CZE","UNEMP","TOT","PC_LF","Q","2018-Q1",2.320341,
"CZE","UNEMP","TOT","PC_LF","Q","2018-Q2",2.257389,
"CZE","UNEMP","TOT","PC_LF","Q","2018-Q3",2.305953,
"CZE","UNEMP","TOT","PC_LF","Q","2018-Q4",2.0896,
"CZE","UNEMP","TOT","PC_LF","Q","2019-Q1",1.946614,
"CZE","UNEMP","TOT","PC_LF","Q","2019-Q2",1.959646,
"DNK","UNEMP","TOT","PC_LF","Q","2017-Q4",5.332594,
"DNK","UNEMP","TOT","PC_LF","Q","2018-Q1",4.901673,
"DNK","UNEMP","TOT","PC_LF","Q","2018-Q2",5.031829,
"DNK","UNEMP","TOT","PC_LF","Q","2018-Q3",4.866059,
"DNK","UNEMP","TOT","PC_LF","Q","2018-Q4",5.099168,"B"
"DNK","UNEMP","TOT","PC_LF","Q","2019-Q1",5.077965,
"DNK","UNEMP","TOT","PC_LF","Q","2019-Q2",4.865647,
"FIN","UNEMP","TOT","PC_LF","Q","2017-Q4",8.332112,
"FIN","UNEMP","TOT","PC_LF","Q","2018-Q1",8.263926,
"FIN","UNEMP","TOT","PC_LF","Q","2018-Q2",7.215449,
"FIN","UNEMP","TOT","PC_LF","Q","2018-Q3",7.391469,
"FIN","UNEMP","TOT","PC_LF","Q","2018-Q4",6.571544,
"FIN","UNEMP","TOT","PC_LF","Q","2019-Q1",6.648847,
"FIN","UNEMP","TOT","PC_LF","Q","2019-Q2",6.7512,
"FRA","UNEMP","TOT","PC_LF","Q","2017-Q4",8.974315,
"FRA","UNEMP","TOT","PC_LF","Q","2018-Q1",9.201378,
"FRA","UNEMP","TOT","PC_LF","Q","2018-Q2",9.079613,
"FRA","UNEMP","TOT","PC_LF","Q","2018-Q3",9.14246,
"FRA","UNEMP","TOT","PC_LF","Q","2018-Q4",8.812818,
